n,time_binet,time_np,flops_binet
4,8.387500565731898e-05,4.018874999019318e-06,112
8,0.000544999995327089,8.34829199447995e-06,960
16,0.004123208003875334,2.1428624997497538e-05,7936
32,0.03319845800433541,7.46912920003524e-05,64512
64,0.2588554579997435,0.0002724468340020394,520192
128,2.0542718330034404,0.001374419667001348,4177920
256,16.564455084000656,0.0053197215420004796,33488896
