n,time_strassen,time_np,flops_strassen
4,0.00027237100039201323,1.3121299998601899e-06,265
8,0.0018642590002855286,1.1475289993541081e-06,2151
16,0.010097405000124127,1.4010119994054548e-06,16225
32,0.068747887000427,2.8296789987507507e-06,118215
64,0.49001147800117906,6.173859999762499e-06,846001
128,3.378379326999493,3.67970420011261e-05,5995863
256,24.073124188000293,0.0002574498180001683,42266209
