n,time_invert,time_np,flops_invert
4,0.0008132329999170906,2.4296470000990667e-06,192
8,0.0025445100000069942,1.5109050000319257e-06,1552
16,0.012997834000088915,1.9673129995680936e-06,11696
32,0.07711299000038707,2.835929999946529e-06,85200
64,0.5949139089998425,2.565929200000028e-05,609712
128,3.6601758580000023,2.5657553999735682e-05,4321232
256,26.31104107100009,0.00021688402399968254,30461616
